<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDRUB;D;20240209;030000;91.0008
USDRUB;D;20240211;030000;91.351
USDRUB;D;20240212;030000;91.2209
USDRUB;D;20240213;030000;91.4948
USDRUB;D;20240214;030000;91.6443
USDRUB;D;20240215;030000;92.387
USDRUB;D;20240216;030000;91.992
USDRUB;D;20240219;030000;92.3349
USDRUB;D;20240220;030000;92.3449
USDRUB;D;20240221;030000;92.2952
USDRUB;D;20240222;030000;93.043
USDRUB;D;20240223;030000;94.726
USDRUB;D;20240225;030000;94.726
USDRUB;D;20240226;030000;92.346
USDRUB;D;20240227;030000;92.0235
USDRUB;D;20240228;030000;91.5471
USDRUB;D;20240229;030000;91.2587
USDRUB;D;20240301;030000;91.677
USDRUB;D;20240303;030000;91.677
USDRUB;D;20240304;030000;91.471
USDRUB;D;20240305;030000;90.9863
USDRUB;D;20240306;030000;90.727
USDRUB;D;20240307;030000;90.6377
USDRUB;D;20240308;030000;90.84
USDRUB;D;20240310;030000;90.84
USDRUB;D;20240311;030000;90.675
USDRUB;D;20240312;030000;91.7511
USDRUB;D;20240313;030000;91.3358
USDRUB;D;20240314;030000;91.338
USDRUB;D;20240315;030000;92.501
USDRUB;D;20240317;030000;92.501
USDRUB;D;20240318;030000;91.7095
USDRUB;D;20240319;030000;92.4887
USDRUB;D;20240320;030000;92.2391
USDRUB;D;20240321;030000;91.8695
USDRUB;D;20240322;030000;92.1295
USDRUB;D;20240324;030000;92.101
USDRUB;D;20240325;030000;92.9019
USDRUB;D;20240326;030000;92.466
USDRUB;D;20240327;030000;92.4508
USDRUB;D;20240328;030000;92.5616
USDRUB;D;20240329;030000;92.5888
USDRUB;D;20240331;030000;91.45
USDRUB;D;20240401;030000;92.262
USDRUB;D;20240402;030000;92.4677
USDRUB;D;20240403;030000;92.2952
USDRUB;D;20240404;030000;92.2523
USDRUB;D;20240405;030000;92.55
USDRUB;D;20240407;030000;92.55
USDRUB;D;20240408;030000;92.4289
USDRUB;D;20240409;030000;92.8962
USDRUB;D;20240410;030000;93.2905
USDRUB;D;20240411;030000;93.2808
USDRUB;D;20240412;030000;93.2899
USDRUB;D;20240415;030000;93.5078
USDRUB;D;20240416;030000;94.1502
USDRUB;D;20240417;030000;94.0758
USDRUB;D;20240418;030000;93.923
USDRUB;D;20240419;030000;93.0022
USDRUB;D;20240421;030000;93.201
USDRUB;D;20240422;030000;93.413
USDRUB;D;20240423;030000;93.1861
USDRUB;D;20240424;030000;92.3139
USDRUB;D;20240425;030000;92.1746
USDRUB;D;20240426;030000;91.8752
USDRUB;D;20240428;030000;92.105
USDRUB;D;20240429;030000;93.1617
USDRUB;D;20240430;030000;93.4587
USDRUB;D;20240501;030000;93.0656
USDRUB;D;20240502;030000;91.1236
USDRUB;D;20240503;030000;91.453
USDRUB;D;20240505;030000;91.451
USDRUB;D;20240506;030000;91.3383
USDRUB;D;20240507;030000;91.4226
USDRUB;D;20240508;030000;91.7463
USDRUB;D;20240509;030000;92.5548
